ID_Call,ID_Couple,Intruder,Owner,Sex,Defense,PC1,PC2,PC3,PC4,PC5
50,6,231,179,Male,1,1.36603496,-0.737828313,3.486935493,0.491983266,0.904812989
51,6,231,179,Male,1,1.205165092,-0.271053513,4.271118559,1.962214695,0.393838714
52,6,231,179,Male,1,1.096107965,-0.031436465,4.817277602,2.522783511,0.715178986
53,6,231,179,Male,1,0.961365735,0.856461664,3.132550902,0.196629422,0.842112161
54,6,231,179,Male,1,1.018122641,0.224870606,3.851609342,0.082785484,-1.267250512
55,6,231,179,Male,1,0.612378913,0.359468238,3.897671857,1.05922292,0.764987899
56,6,231,179,Male,1,1.255273929,-1.294660965,3.297801258,-0.467730333,-0.15958639
57,6,231,179,Male,1,0.856308619,-1.086676414,3.774064665,1.155511974,0.659694125
58,6,231,179,Male,1,1.234915126,-1.376622654,3.585603939,1.01238099,-0.715597176
59,6,231,179,Male,1,-0.456476133,-0.038431975,3.167324349,0.244247258,-0.402228371
60,6,231,179,Male,1,0.778378067,-0.572447444,4.280987903,-2.077764582,3.752470258
61,6,231,179,Male,1,0.62429484,-0.813167745,3.997663002,1.814229157,-0.597156342
62,6,231,179,Male,1,0.620116147,-0.687212732,3.237523566,0.758349487,-0.524198041
63,6,231,179,Male,1,0.620116147,-0.687212732,3.237523566,0.758349487,-0.524198041
64,6,231,179,Male,1,1.359147887,-1.266287274,3.491483964,0.850100949,-0.663214935
65,6,231,179,Male,1,1.234915126,-1.376622654,3.585603939,1.01238099,-0.715597176
66,6,231,179,Male,1,1.234915126,-1.376622654,3.585603939,1.01238099,-0.715597176
67,6,231,179,Male,1,-0.342689944,1.88390472,4.383024671,0.742115539,-0.712111174
68,6,231,179,Male,1,0.280190482,0.613728558,4.114950776,0.040400404,-0.342688778
69,6,231,179,Male,1,1.11386087,-0.403780883,3.037347497,-0.237860022,0.27791307
70,6,231,179,Male,1,1.363672204,-0.489951107,3.124991343,0.035277868,0.197224851
71,6,231,179,Male,1,-0.517592963,0.440551067,4.156935952,-0.009768776,-0.946565536
72,6,231,179,Male,1,-1.102228263,1.896006497,4.046647443,1.02679614,0.203055446
73,6,231,179,Male,1,0.146922294,0.05890079,2.99269838,0.320489783,-0.870944767
74,6,231,179,Male,1,-0.974217331,1.959238864,3.556241398,-0.183631568,-0.177480838
75,6,231,179,Male,1,0.110214374,0.000373241,3.450227025,0.788424926,0.213822903
76,6,231,179,Male,1,0.278679316,-0.036508722,2.83319047,-0.462648172,0.555245242
77,6,231,179,Male,1,0.037817693,0.113694783,2.747217155,-0.305682146,0.498899582
78,6,231,179,Male,1,-1.13701697,1.950969367,3.825990792,-0.115391528,0.369538939
79,6,231,179,Male,1,0.675335303,-0.059983022,3.363935292,-0.144610548,-0.219471437
80,6,231,179,Male,1,0.209821102,0.339794168,2.871475126,-0.29151462,0.471518186
81,6,231,179,Male,1,0.89509785,0.075089718,3.219800596,-0.039545914,0.340192137
82,6,231,179,Male,1,-1.02080622,2.01101593,3.930004365,0.082095617,-0.335947389
83,6,231,179,Male,1,-0.27087531,0.406909333,2.664467048,0.086882853,0.412702163
84,6,231,179,Male,1,-4.47845506,-1.892213346,1.31065237,0.121991447,-0.457935258
85,6,231,179,Male,1,1.47082552,-0.563770717,4.078681695,0.879808976,0.538438185
86,6,231,179,Male,1,1.177744267,0.511619944,3.370842423,-0.38535252,0.360667195
87,6,231,179,Male,1,1.025819584,1.254880045,3.790515533,-0.300615674,-0.509618495
88,6,231,179,Male,1,-0.302809909,2.661746541,3.854118947,-0.832673808,-0.987667235
89,7,224,190,Male,1,0.790068663,0.885258877,-0.383220558,-0.126964739,-0.133133877
90,7,224,190,Male,1,-0.199929217,0.081858873,-0.393182696,0.564456652,0.120031321
91,7,224,190,Male,1,-0.675960955,-0.978539696,-0.550576881,0.068175328,-0.717001809
92,7,224,190,Male,1,-0.807885665,0.809624805,-0.530336249,0.109684405,0.048776047
93,7,224,190,Male,1,-1.289835156,0.468849114,-0.260426033,0.217518267,-0.072861011
94,7,224,190,Male,1,-0.16445559,-0.558679495,-0.452985757,-0.311692369,-0.379104442
95,7,224,190,Male,1,-0.595895716,-0.743507102,-0.497121842,-0.022818129,-0.265565027
96,7,224,190,Male,1,-0.711641678,-0.745910096,-0.309064626,-0.127718847,0.12855005
97,7,224,190,Male,1,-0.592685774,-1.429689715,-0.516492494,-0.049162529,-0.167138483
98,7,224,190,Male,1,-0.501085333,-0.083846676,-1.029138444,0.547370308,0.122113673
99,7,224,190,Male,1,0.026453778,-1.567042842,-0.41878592,0.134525905,-0.42066343
100,7,224,190,Male,1,0.767917771,-0.138907877,-0.629233896,0.056919532,-0.948395374
101,7,224,190,Male,1,-0.4054483,-0.096085289,-0.419816507,-0.168676244,0.150278713
