Duration,Elements,element_rate,pk_freq(max),min_req(max),max_freq(max),bandw(max),entropy(max),peak_freq(mean),min_freq(mean),max_freq(mean),bandw(mean),entropy(mean)
0.16584,58,0.0029,38000,33000,45000,11000,0.22,43000,4000,84000,80000,0.432
0.13858,53,0.00266,57000,35000,73000,38000,0.334,55000,4000,82000,77000,0.42
0.09203,32,0.00296,49000,30000,77000,46000,0.326,46000,10000,79000,68000,0.376
0.02845,12,0.00245,52000,10000,73000,62000,0.358,30000,4000,89000,84000,0.443
0.09937,66,0.00152,35000,16000,77000,61000,0.377,33000,2000,83000,80000,0.491
0.16051,84,0.00192,57000,13000,76000,62000,0.328,55000,2000,80000,77000,0.473
0.23283,139,0.00168,52000,32000,67000,35000,0.32,51000,4000,83000,79000,0.429
0.11008,93,0.00117,49000,29000,77000,48000,0.311,43000,5000,84000,79000,0.406
0.08759,123,0.00071,20000,4000,62000,58000,0.32,20000,1000,79000,77000,0.448
0.09527,98,0.00098,23000,4000,62000,58000,0.308,20000,2000,71000,68000,0.404
0.09911,147,0.00067,20000,5000,62000,57000,0.34,26000,1000,90000,89000,0.477
0.08128,119,0.00068,17000,4000,58000,54000,0.315,17000,1000,77000,76000,0.455
0.08085,119,0.00068,17000,4000,58000,54000,0.311,17000,1000,76000,74000,0.455
0.08123,128,0.00063,17000,4000,58000,54000,0.311,17000,1000,76000,74000,0.455
0.04595,43,0.00108,7000,1000,62000,61000,0.312,7000,1000,70000,68000,0.443
0.12663,110,0.00115,19000,4000,61000,57000,0.285,19000,1000,68000,67000,0.416
0.17032,144,0.00117,16000,4000,57000,52000,0.305,19000,1000,71000,70000,0.452
0.13832,201,0.00069,20000,2000,65000,62000,0.33,7000,1000,77000,76000,0.479
0.11882,138,0.00086,26000,1000,70000,68000,0.376,7000,1000,71000,70000,0.475
0.02555,35,0.00074,19000,4000,67000,62000,0.389,17000,1000,79000,77000,0.477
0.09787,83,0.00119,19000,2000,71000,68000,0.299,20000,1000,80000,79000,0.48
0.05256,72,0.00074,52000,2000,64000,61000,0.337,55000,2000,76000,73000,0.43
0.07581,40,0.00188,30000,4000,67000,62000,0.355,17000,1000,73000,71000,0.438
0.07931,65,0.0012,61000,2000,82000,79000,0.409,20000,1000,82000,80000,0.485
0.08396,101,0.00083,52000,2000,64000,61000,0.337,55000,1000,76000,74000,0.444
0.16588,155,0.00106,42000,24000,70000,45000,0.298,45000,4000,84000,80000,0.412
0.14054,151,0.00093,48000,23000,76000,52000,0.303,49000,2000,84000,82000,0.409
0.11912,117,0.00101,51000,20000,73000,52000,0.326,46000,4000,83000,79000,0.413
0.19805,169,0.00116,46000,20000,82000,61000,0.36,48000,2000,84000,82000,0.418
0.14587,141,0.00104,52000,20000,77000,57000,0.333,48000,4000,83000,79000,0.415
0.08153,79,0.00103,49000,14000,74000,60000,0.358,48000,2000,86000,83000,0.431
0.2775,154,0.00181,42000,8000,70000,61000,0.371,42000,2000,80000,77000,0.419
0.22592,146,0.00155,42000,13000,74000,61000,0.335,43000,2000,84000,82000,0.438
0.22971,150,0.00153,42000,13000,74000,61000,0.335,43000,2000,84000,82000,0.437
0.15296,138,0.00108,45000,26000,70000,43000,0.324,41000,7000,84000,77000,0.408
0.14519,144,0.00101,41000,27000,77000,49000,0.314,41000,4000,84000,80000,0.445
0.22318,269,0.00083,61000,16000,77000,61000,0.367,57000,2000,95000,92000,0.476
0.17668,181,0.00098,24000,19000,46000,27000,0.281,30000,1000,79000,77000,0.394
0.15249,136,0.00113,43000,5000,74000,68000,0.342,7000,1000,82000,80000,0.412
0.13585,56,0.00247,48000,8000,76000,67000,0.361,7000,1000,101000,99000,0.445
0.17629,180,0.00098,24000,19000,46000,27000,0.284,29000,1000,79000,77000,0.395
0.15424,130,0.00118,43000,7000,73000,65000,0.34,7000,1000,82000,80000,0.411
0.13585,56,0.00247,48000,8000,76000,67000,0.36,7000,1000,101000,99000,0.445
0.22715,125,0.00183,43000,4000,84000,80000,0.361,43000,1000,95000,93000,0.448
0.18372,65,0.00285,65000,8000,86000,77000,0.387,43000,1000,96000,95000,0.458
0.18171,59,0.00313,42000,4000,96000,92000,0.417,45000,2000,99000,96000,0.454
0.18252,60,0.00309,48000,8000,76000,67000,0.36,7000,1000,90000,89000,0.433
0.22327,123,0.00183,43000,4000,84000,80000,0.36,42000,1000,95000,93000,0.443
0.18372,65,0.00285,65000,8000,95000,86000,0.391,43000,1000,96000,95000,0.458
0.17821,125,0.00143,43000,4000,98000,93000,0.431,45000,2000,99000,96000,0.453
0.23859,127,0.00189,48000,20000,76000,55000,0.319,46000,1000,90000,89000,0.448
0.16934,70,0.00244,67000,7000,84000,77000,0.406,46000,1000,98000,96000,0.456
0.05137,32,0.00165,43000,20000,74000,54000,0.336,43000,2000,80000,77000,0.407
0.22336,34,0.00675,48000,14000,82000,67000,0.387,7000,2000,86000,83000,0.418
0.39957,110,0.00366,52000,5000,71000,65000,0.326,7000,2000,79000,76000,0.419
0.27793,169,0.00165,48000,16000,71000,55000,0.314,48000,4000,99000,95000,0.442
0.16076,160,0.001,55000,11000,70000,58000,0.338,30000,2000,96000,93000,0.429
0.11003,115,0.00096,55000,11000,70000,58000,0.341,30000,2000,83000,80000,0.425
0.10948,113,0.00097,55000,11000,70000,58000,0.345,30000,2000,83000,80000,0.425
0.07432,58,0.00129,29000,5000,70000,64000,0.366,30000,2000,77000,74000,0.407
0.16123,163,0.00099,55000,11000,70000,58000,0.338,30000,2000,96000,93000,0.429
0.10999,116,0.00095,55000,11000,70000,58000,0.339,30000,2000,83000,80000,0.425
0.11008,116,0.00095,55000,11000,70000,58000,0.336,30000,2000,83000,80000,0.425
0.07432,58,0.00129,29000,5000,70000,64000,0.365,30000,2000,77000,74000,0.407
0.16622,163,0.00098,39000,14000,82000,67000,0.349,38000,4000,83000,79000,0.403
0.14549,167,0.00086,48000,17000,77000,60000,0.378,36000,4000,87000,83000,0.424
0.12876,132,0.00098,39000,16000,71000,55000,0.358,38000,4000,82000,77000,0.4
0.11968,147,0.00081,19000,13000,41000,27000,0.234,20000,5000,62000,57000,0.343
0.10355,250,0.00041,52000,19000,68000,49000,0.291,51000,5000,70000,64000,0.365
0.19635,271,0.00072,57000,20000,73000,52000,0.311,54000,4000,76000,71000,0.415
