ID_Call,ID_Couple,Intruder,Owner,Sex,duration,element rate,peak freq(max),min freq(max),max freq(max),bandw(max),entropy(max),peak freq(mean),min freq(mean),max freq(mean),bandw(mean),entropy(mean),PC1,PC2,PC3,PC4,PC5
63,6,231,179,Male,0.0549,0.0021,35100,20000,77100,57100,0.585,35100,7300,76600,69300,0.662,0.620116147,-0.687212732,3.237523566,0.758349487,-0.524198041
64,6,231,179,Male,0.0698,0.0025,35100,15600,82000,66400,0.632,34600,6800,81000,74200,0.68,1.359147887,-1.266287274,3.491483964,0.850100949,-0.663214935
65,6,231,179,Male,0.0506,0.0031,38500,12200,77100,64900,0.636,34600,6300,81000,74700,0.682,1.234915126,-1.376622654,3.585603939,1.01238099,-0.715597176
66,6,231,179,Male,0.0506,0.0031,38500,12200,77100,64900,0.636,34600,6300,81000,74700,0.682,1.234915126,-1.376622654,3.585603939,1.01238099,-0.715597176
67,6,231,179,Male,0.1629,0.0039,41500,28300,77600,49300,0.566,41500,28800,79100,50200,0.606,-0.342689944,1.88390472,4.383024671,0.742115539,-0.712111174
68,6,231,179,Male,0.1761,0.0022,40500,21900,76100,54100,0.592,41900,19500,78100,58500,0.65,0.280190482,0.613728558,4.114950776,0.040400404,-0.342688778
69,6,231,179,Male,0.1864,0.0014,49300,20500,77600,57100,0.577,38000,5300,76600,71200,0.638,1.11386087,-0.403780883,3.037347497,-0.237860022,0.27791307
70,6,231,179,Male,0.1608,0.0014,40500,20000,78600,58500,0.576,40500,7300,83000,75600,0.672,1.363672204,-0.489951107,3.124991343,0.035277868,0.197224851
71,6,231,179,Male,0.0972,0.0018,41000,19000,70300,51200,0.595,41000,18500,69800,51200,0.641,-0.517592963,0.440551067,4.156935952,-0.009768776,-0.946565536
72,6,231,179,Male,0.1466,0.0047,40500,34100,66800,32700,0.522,41500,19500,70300,50700,0.598,-1.102228263,1.896006497,4.046647443,1.02679614,0.203055446
73,6,231,179,Male,0.0134,0.0032,51200,19500,68800,49300,0.546,51200,3900,68800,64900,0.6,0.146922294,0.05890079,2.99269838,0.320489783,-0.870944767
74,6,231,179,Male,0.1896,0.0024,44900,27800,69800,41900,0.486,44900,23400,71700,48300,0.582,-0.974217331,1.959238864,3.556241398,-0.183631568,-0.177480838
75,6,231,179,Male,0.1025,0.0036,41000,24400,68300,43900,0.571,40500,5800,72700,66800,0.632,0.110214374,0.000373241,3.450227025,0.788424926,0.213822903
76,6,231,179,Male,0.1756,0.0014,43900,20500,68300,47800,0.508,44900,5300,73200,67800,0.64,0.278679316,-0.036508722,2.83319047,-0.462648172,0.555245242
77,6,231,179,Male,0.1573,0.0014,44400,21400,65400,43900,0.525,42900,5800,73700,67800,0.609,0.037817693,0.113694783,2.747217155,-0.305682146,0.498899582
78,6,231,179,Male,0.1807,0.0021,44900,30200,61000,30700,0.51,44900,20500,71700,51200,0.614,-1.13701697,1.950969367,3.825990792,-0.115391528,0.369538939
